Sector,emis,region_cd,region,emis_base,emis_2020,emis_2030,emis_2040,emis_2050,GF_2020,GF_2030,GF_2040,GF_2050
commercial,BC,3,east north central,0.013042430649711,0.012939779249757,0.012939779249757,0.012939779249757,0.012939779249757,0.992129427197202,0.992129427197202,0.992129427197202,0.992129427197202
residential,BC,3,east north central,0,0,0,0,0,NA,NA,NA,NA
commercial,CH4,3,east north central,0.914806833333333,0.640315,0.640729,0.663066,0.701104,0.699945580496867,0.700398135052555,0.72481531164776,0.766395674423799
residential,CH4,3,east north central,1.473295127,1.404078383,1.328079022,1.254737278,1.203580776,0.953019091198012,0.901434476814094,0.851653721651114,0.816931213538182
commercial,CO,3,east north central,28.7747854555852,18.9400041325975,19.4890932595343,20.609847833472,22.3083855668427,0.65821530318035,0.67729760451616,0.716246794099785,0.77527547864002
residential,CO,3,east north central,330.75503158667,256.236704271761,216.851195428742,185.839821686243,163.966786216654,0.774702362175912,0.6556247818468,0.561865441002511,0.495734820510776
commercial,CO2,3,east north central,0.914806833333333,0.640315,0.640729,0.663066,0.701104,0.699945580496867,0.700398135052555,0.72481531164776,0.766395674423799
residential,CO2,3,east north central,1.473295127,1.404078383,1.328079022,1.254737278,1.203580776,0.953019091198012,0.901434476814094,0.851653721651114,0.816931213538182
commercial,NOX,3,east north central,47.6068261766207,29.7942020710831,29.8521278765194,30.9120768433298,32.6993269578557,0.6258388652196,0.627055619414082,0.649320261944082,0.686862149485488
residential,NOX,3,east north central,69.1229427535456,64.7933723252591,60.7062533596694,56.933812492883,54.2855432881815,0.937364205633961,0.878235950921743,0.823660136922667,0.785347688129163
commercial,OC,3,east north central,0.026084861278839,0.025879558479093,0.025879558479093,0.025879558479093,0.025879558479093,0.992129427197201,0.992129427197201,0.992129427197201,0.992129427197201
residential,OC,3,east north central,0,0,0,0,0,NA,NA,NA,NA
commercial,PM10.PRI,3,east north central,2.56240942581851,2.26634006626801,2.25337152326353,2.31603153887448,2.43067466207224,0.884456653738725,0.879395580018885,0.90384913337363,0.948589494551912
residential,PM10.PRI,3,east north central,41.9206865139361,31.9151466115753,26.7010755170021,22.6255611115949,19.748802084815,0.761322136291003,0.636942706272847,0.539723057829057,0.471099204881813
commercial,PM25.PRI,3,east north central,2.53872487581402,2.2433682866614,2.23109751557004,2.29443912691711,2.40960804205817,0.88365947331811,0.878826034607102,0.903776202287936,0.949141068815324
residential,PM25.PRI,3,east north central,36.0452062801717,27.4402188488956,22.9559032329257,19.4509182821132,16.9768370976769,0.761272348827986,0.636864249145763,0.539625661479792,0.470987375289784
commercial,SO2,3,east north central,3.8122991597597,2.78581601760943,2.67744013334283,2.58524205387728,2.53213468364632,0.730744335862938,0.702316376847928,0.678132000018656,0.664201464138489
residential,SO2,3,east north central,3.46039476454546,2.94610545993251,2.44624173667112,2.06125675044881,1.77163798956669,0.851378429454854,0.70692562644437,0.595670982850874,0.511975687779484
commercial,VOC,3,east north central,2.32414958895265,1.62402996863664,1.6279713519733,1.68436510016703,1.77865820879757,0.698763098707641,0.700458937630999,0.724723188289301,0.765294203631316
residential,VOC,3,east north central,71.3162467645536,54.8543983024364,46.2131218725549,39.4293539600608,34.643769336335,0.769171132680817,0.648002719844817,0.552880384889498,0.485776676536405
commercial,BC,6,east south central,0.00286103814419117,0.002923663946838,0.002923663946838,0.002923663946838,0.002923663946838,1.02188918829131,1.02188918829131,1.02188918829131,1.02188918829131
residential,BC,6,east south central,0,0,0,0,0,NA,NA,NA,NA
commercial,CH4,6,east south central,0.523673333333333,0.13244,0.134603,0.139074,0.149027,0.252905755496429,0.257036193046556,0.265573958320072,0.284580081730341
residential,CH4,6,east south central,0.228052492166666,0.203369787,0.1867938,0.170224613,0.159478935,0.891767439451494,0.819082476255013,0.746427330755043,0.699308012312573
commercial,CO,6,east south central,19.3113338824098,4.19517933651618,4.2643029264033,4.36017705502774,4.66258091362267,0.21723923174139,0.220818662883124,0.225783318831192,0.241442716593994
residential,CO,6,east south central,152.336287041825,106.54969805578,79.9971560873941,56.4591632143909,37.5706179677118,0.699437409988376,0.525135262522384,0.370621893908242,0.24662947152832
commercial,CO2,6,east south central,0.523673333333333,0.13244,0.134603,0.139074,0.149027,0.252905755496429,0.257036193046556,0.265573958320072,0.284580081730341
residential,CO2,6,east south central,0.228052492166666,0.203369787,0.1867938,0.170224613,0.159478935,0.891767439451494,0.819082476255013,0.746427330755043,0.699308012312573
commercial,NOX,6,east south central,33.6253567863929,6.34352042564709,6.47504866711655,6.6874989050746,7.15541258765147,0.188652880798996,0.192564459858365,0.198882615508211,0.212798116406813
